request to route: '/'; took 1ms to complete
request to route: '/favicon.ico'; took 0ms to complete
request to route: '/pos_system'; took 1ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 236ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 233ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 374ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 165ms to complete
request to route: '/favicon.ico'; took 0ms to complete
request to route: '/pos_system'; took 4ms to complete
request to route: '/favicon.ico'; took 0ms to complete
request to route: '/pos_system'; took 0ms to complete
request to route: '/pos_system/lock_screen'; took 8ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 160ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 136ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 306ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 171ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 180ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 384ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 243ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 154ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 166ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 91ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 296ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 564ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 193ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 415ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 268ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 157ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 114ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 261ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 258ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 171ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 133ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 88ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 235ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 169ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 103ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 277ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 181ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 245ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 126ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 123ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 272ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 143ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 242ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 122ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 355ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 147ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 125ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 96ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 220ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 245ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 122ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 119ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 192ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 247ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 151ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 152ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 617ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 138ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 143ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 293ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 138ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 151ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 231ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 134ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 118ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 165ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 261ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 92ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 115ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 233ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 156ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 196ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244be7c1ca68ffa977f9f6e/624241930f78dd7a2ecc899d'; took 168ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244c2a31ca68ffa977f9fc1/624241930f78dd7a2ecc899d'; took 146ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 199ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244bf501ca68ffa977f9f86/624241930f78dd7a2ecc899d'; took 168ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6242481fcb76fe1c20588072/624241930f78dd7a2ecc899d'; took 142ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244bc421ca68ffa977f9f41/624241930f78dd7a2ecc899d'; took 145ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f833f2c723b3fd6daeca'; took 168ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/62424da2cb76fe1c205880b8/6238f833f2c723b3fd6daeca'; took 156ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244bc421ca68ffa977f9f41/6238f833f2c723b3fd6daeca'; took 152ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f822f2c723b3fd6daec6'; took 197ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/624242cc0f78dd7a2ecc89b1/6238f822f2c723b3fd6daec6'; took 144ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 186ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244cfea1ca68ffa977fa0ea/6238f808f2c723b3fd6daec3'; took 142ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 148ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244cfea1ca68ffa977fa0ea/6238f808f2c723b3fd6daec3'; took 151ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241c00f78dd7a2ecc89a5'; took 148ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/624520b81ca68ffa977fa1be/624241c00f78dd7a2ecc89a5'; took 140ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 504ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 845ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 1146ms to complete
